index,sample,gene_symbol,class
ENSG00000000971_1,ENSG00000000971_1,CFH,target
ENSG00000000971_2,ENSG00000000971_2,CFH,target
ENSG00000000971_3,ENSG00000000971_3,CFH,target
ENSG00000000971_4,ENSG00000000971_4,CFH,target
ENSG00000001036_1,ENSG00000001036_1,FUCA2,target
ENSG00000001036_2,ENSG00000001036_2,FUCA2,target
ENSG00000001036_3,ENSG00000001036_3,FUCA2,target
ENSG00000001036_4,ENSG00000001036_4,FUCA2,target
ENSG00000001461_1,ENSG00000001461_1,NIPAL3,target
ENSG00000001461_2,ENSG00000001461_2,NIPAL3,target
ENSG00000001461_3,ENSG00000001461_3,NIPAL3,target
ENSG00000001461_4,ENSG00000001461_4,NIPAL3,target
ENSG00000001561_1,ENSG00000001561_1,ENPP4,target
ENSG00000001561_2,ENSG00000001561_2,ENPP4,target
ENSG00000001561_3,ENSG00000001561_3,ENPP4,target
ENSG00000001561_4,ENSG00000001561_4,ENPP4,target
ENSG00000001631_1,ENSG00000001631_1,KRIT1,target
ENSG00000001631_2,ENSG00000001631_2,KRIT1,target
ENSG00000001631_3,ENSG00000001631_3,KRIT1,target
ENSG00000001631_4,ENSG00000001631_4,KRIT1,target
ENSG00000002549_1,ENSG00000002549_1,LAP3,target
ENSG00000002549_2,ENSG00000002549_2,LAP3,target
ENSG00000002549_3,ENSG00000002549_3,LAP3,target
ENSG00000002549_4,ENSG00000002549_4,LAP3,target
ENSG00000002586_1,ENSG00000002586_1,CD99,target
ENSG00000002586_2,ENSG00000002586_2,CD99,target
ENSG00000002586_3,ENSG00000002586_3,CD99,target
ENSG00000002586_4,ENSG00000002586_4,CD99,target
ENSG00000002822_1,ENSG00000002822_1,MAD1L1,target
ENSG00000002822_2,ENSG00000002822_2,MAD1L1,target
ENSG00000002822_3,ENSG00000002822_3,MAD1L1,target
ENSG00000002822_4,ENSG00000002822_4,MAD1L1,target
ENSG00000003056_1,ENSG00000003056_1,M6PR,target
ENSG00000003056_2,ENSG00000003056_2,M6PR,target
ENSG00000003056_3,ENSG00000003056_3,M6PR,target
ENSG00000003056_4,ENSG00000003056_4,M6PR,target
ENSG00000003096_1,ENSG00000003096_1,KLHL13,target
ENSG00000003096_2,ENSG00000003096_2,KLHL13,target
ENSG00000003096_3,ENSG00000003096_3,KLHL13,target
ENSG00000003096_4,ENSG00000003096_4,KLHL13,target
ENSG00000003393_1,ENSG00000003393_1,ALS2,target
ENSG00000003393_2,ENSG00000003393_2,ALS2,target
ENSG00000003393_3,ENSG00000003393_3,ALS2,target
ENSG00000003393_4,ENSG00000003393_4,ALS2,target
ENSG00000003400_1,ENSG00000003400_1,CASP10,target
ENSG00000003400_2,ENSG00000003400_2,CASP10,target
ENSG00000003400_3,ENSG00000003400_3,CASP10,target
ENSG00000003400_4,ENSG00000003400_4,CASP10,target
ENSG00000003402_1,ENSG00000003402_1,CFLAR,target
ENSG00000003402_2,ENSG00000003402_2,CFLAR,target
ENSG00000003402_3,ENSG00000003402_3,CFLAR,target
ENSG00000003402_4,ENSG00000003402_4,CFLAR,target
ENSG00000003756_1,ENSG00000003756_1,RBM5,target
ENSG00000003756_2,ENSG00000003756_2,RBM5,target
ENSG00000003756_3,ENSG00000003756_3,RBM5,target
ENSG00000003756_4,ENSG00000003756_4,RBM5,target
ENSG00000004455_1,ENSG00000004455_1,AK2,target
ENSG00000004455_2,ENSG00000004455_2,AK2,target
ENSG00000004455_3,ENSG00000004455_3,AK2,target
ENSG00000004455_4,ENSG00000004455_4,AK2,target
ENSG00000004487_1,ENSG00000004487_1,KDM1A,target
ENSG00000004487_2,ENSG00000004487_2,KDM1A,target
ENSG00000004487_3,ENSG00000004487_3,KDM1A,target
ENSG00000004487_4,ENSG00000004487_4,KDM1A,target
ENSG00000004660_1,ENSG00000004660_1,CAMKK1,target
ENSG00000004660_2,ENSG00000004660_2,CAMKK1,target
ENSG00000004660_3,ENSG00000004660_3,CAMKK1,target
ENSG00000004660_4,ENSG00000004660_4,CAMKK1,target
ENSG00000004846_1,ENSG00000004846_1,ABCB5,target
ENSG00000004846_2,ENSG00000004846_2,ABCB5,target
ENSG00000004846_3,ENSG00000004846_3,ABCB5,target
ENSG00000004846_4,ENSG00000004846_4,ABCB5,target
ENSG00000004897_1,ENSG00000004897_1,CDC27,target
ENSG00000004897_2,ENSG00000004897_2,CDC27,target
ENSG00000004897_3,ENSG00000004897_3,CDC27,target
ENSG00000004897_4,ENSG00000004897_4,CDC27,target
ENSG00000004961_1,ENSG00000004961_1,HCCS,target
ENSG00000004961_2,ENSG00000004961_2,HCCS,target
ENSG00000004961_3,ENSG00000004961_3,HCCS,target
ENSG00000004961_4,ENSG00000004961_4,HCCS,target
ENSG00000005156_1,ENSG00000005156_1,LIG3,target
ENSG00000005156_2,ENSG00000005156_2,LIG3,target
ENSG00000005156_3,ENSG00000005156_3,LIG3,target
ENSG00000005156_4,ENSG00000005156_4,LIG3,target
ENSG00000005194_1,ENSG00000005194_1,CIAPIN1,target
ENSG00000005194_2,ENSG00000005194_2,CIAPIN1,target
ENSG00000005194_3,ENSG00000005194_3,CIAPIN1,target
ENSG00000005194_4,ENSG00000005194_4,CIAPIN1,target
ENSG00000005206_1,ENSG00000005206_1,SPPL2B,target
ENSG00000005206_2,ENSG00000005206_2,SPPL2B,target
ENSG00000005206_3,ENSG00000005206_3,SPPL2B,target
ENSG00000005206_4,ENSG00000005206_4,SPPL2B,target
ENSG00000005238_1,ENSG00000005238_1,FAM214B,target
ENSG00000005238_2,ENSG00000005238_2,FAM214B,target
ENSG00000005238_3,ENSG00000005238_3,FAM214B,target
ENSG00000005238_4,ENSG00000005238_4,FAM214B,target
ENSG00000005243_1,ENSG00000005243_1,COPZ2,target
ENSG00000005243_2,ENSG00000005243_2,COPZ2,target
ENSG00000005243_3,ENSG00000005243_3,COPZ2,target
ENSG00000005243_4,ENSG00000005243_4,COPZ2,target
ENSG00000005302_1,ENSG00000005302_1,MSL3,target
ENSG00000005302_2,ENSG00000005302_2,MSL3,target
ENSG00000005302_3,ENSG00000005302_3,MSL3,target
ENSG00000005302_4,ENSG00000005302_4,MSL3,target
ENSG00000005381_1,ENSG00000005381_1,MPO,target
ENSG00000005381_2,ENSG00000005381_2,MPO,target
