index,sample,cellline,timepoint,HTO,NGS_ID,Biological_replicate,sublibrary,gRNA_library_MOI
HTO-1,SAM24439043,DLD1,day5,HTO-1,NGS5888,SAM24439043,GMTY210:cropseq.crisprko.cas9.human.lib3.concerto@REVISION-3,0.5
HTO-2,SAM24439043,DLD1,day5,HTO-2,NGS5888,SAM24439043,GMTY210:cropseq.crisprko.cas9.human.lib3.concerto@REVISION-3,0.5
HTO-3,SAM24439043,DLD1,day5,HTO-3,NGS5888,SAM24439043,GMTY210:cropseq.crisprko.cas9.human.lib3.concerto@REVISION-3,0.5
HTO-4,SAM24439044,DLD1,day5,HTO-4,NGS5888,SAM24439044,GMTY210:cropseq.crisprko.cas9.human.lib3.concerto@REVISION-3,0.5
HTO-5,SAM24439044,DLD1,day5,HTO-5,NGS5888,SAM24439044,GMTY210:cropseq.crisprko.cas9.human.lib3.concerto@REVISION-3,0.5
HTO-6,SAM24439044,DLD1,day5,HTO-6,NGS5888,SAM24439044,GMTY210:cropseq.crisprko.cas9.human.lib3.concerto@REVISION-3,0.5
HTO-7,SAM24439045,DLD1,day5,HTO-7,NGS5888,SAM24439045,GMTY210:cropseq.crisprko.cas9.human.lib3.concerto@REVISION-3,0.5
HTO-8,SAM24439045,DLD1,day5,HTO-8,NGS5888,SAM24439045,GMTY210:cropseq.crisprko.cas9.human.lib3.concerto@REVISION-3,0.5
HTO-9,SAM24439045,DLD1,day5,HTO-9,NGS5888,SAM24439045,GMTY210:cropseq.crisprko.cas9.human.lib3.concerto@REVISION-3,0.5
HTO-10,SAM24439043,DLD1,day5,HTO-10,NGS5888,SAM24439043,GMTY210:cropseq.crisprko.cas9.human.lib3.concerto@REVISION-3,0.5
HTO-11,SAM24439043,DLD1,day5,HTO-11,NGS5888,SAM24439043,GMTY210:cropseq.crisprko.cas9.human.lib3.concerto@REVISION-3,0.5
HTO-12,SAM24439043,DLD1,day5,HTO-12,NGS5888,SAM24439043,GMTY210:cropseq.crisprko.cas9.human.lib3.concerto@REVISION-3,0.5
HTO-13,SAM24439044,DLD1,day5,HTO-13,NGS5888,SAM24439044,GMTY210:cropseq.crisprko.cas9.human.lib3.concerto@REVISION-3,0.5
HTO-14,SAM24439044,DLD1,day5,HTO-14,NGS5888,SAM24439044,GMTY210:cropseq.crisprko.cas9.human.lib3.concerto@REVISION-3,0.5
HTO-15,SAM24439044,DLD1,day5,HTO-15,NGS5888,SAM24439044,GMTY210:cropseq.crisprko.cas9.human.lib3.concerto@REVISION-3,0.5
HTO-16,SAM24439045,DLD1,day5,HTO-16,NGS5888,SAM24439045,GMTY210:cropseq.crisprko.cas9.human.lib3.concerto@REVISION-3,0.5
HTO-17,SAM24439045,DLD1,day5,HTO-17,NGS5888,SAM24439045,GMTY210:cropseq.crisprko.cas9.human.lib3.concerto@REVISION-3,0.5
HTO-18,SAM24439045,DLD1,day5,HTO-18,NGS5888,SAM24439045,GMTY210:cropseq.crisprko.cas9.human.lib3.concerto@REVISION-3,0.5
HTO-19,POSITIVE_CONTROL,DLD1,day5,HTO-19,NGS5888,POSITIVE_CONTROL,GMTY210:cropseq.crisprko.cas9.human.lib3.concerto@REVISION-3,0.5
