index,sample,gene_symbol,class
ENSG00000000457_1,ENSG00000000457_1,SCYL3,target
ENSG00000000457_2,ENSG00000000457_2,SCYL3,target
ENSG00000000457_3,ENSG00000000457_3,SCYL3,target
ENSG00000000457_4,ENSG00000000457_4,SCYL3,target
ENSG00000000460_1,ENSG00000000460_1,C1orf112,target
ENSG00000000460_2,ENSG00000000460_2,C1orf112,target
ENSG00000000460_3,ENSG00000000460_3,C1orf112,target
ENSG00000000460_4,ENSG00000000460_4,C1orf112,target
ENSG00000000938_1,ENSG00000000938_1,FGR,target
ENSG00000000938_2,ENSG00000000938_2,FGR,target
ENSG00000000938_3,ENSG00000000938_3,FGR,target
ENSG00000000938_4,ENSG00000000938_4,FGR,target
ENSG00000001084_1,ENSG00000001084_1,GCLC,target
ENSG00000001084_2,ENSG00000001084_2,GCLC,target
ENSG00000001084_3,ENSG00000001084_3,GCLC,target
ENSG00000001084_4,ENSG00000001084_4,GCLC,target
ENSG00000001167_1,ENSG00000001167_1,NFYA,target
ENSG00000001167_2,ENSG00000001167_2,NFYA,target
ENSG00000001167_3,ENSG00000001167_3,NFYA,target
ENSG00000001167_4,ENSG00000001167_4,NFYA,target
ENSG00000001460_1,ENSG00000001460_1,STPG1,target
ENSG00000001460_2,ENSG00000001460_2,STPG1,target
ENSG00000001460_3,ENSG00000001460_3,STPG1,target
ENSG00000001460_4,ENSG00000001460_4,STPG1,target
ENSG00000001617_1,ENSG00000001617_1,SEMA3F,target
ENSG00000001617_2,ENSG00000001617_2,SEMA3F,target
ENSG00000001617_3,ENSG00000001617_3,SEMA3F,target
ENSG00000001617_4,ENSG00000001617_4,SEMA3F,target
ENSG00000001626_1,ENSG00000001626_1,CFTR,target
ENSG00000001626_2,ENSG00000001626_2,CFTR,target
ENSG00000001626_3,ENSG00000001626_3,CFTR,target
ENSG00000001626_4,ENSG00000001626_4,CFTR,target
ENSG00000002745_1,ENSG00000002745_1,WNT16,target
ENSG00000002745_2,ENSG00000002745_2,WNT16,target
ENSG00000002745_3,ENSG00000002745_3,WNT16,target
ENSG00000002745_4,ENSG00000002745_4,WNT16,target
ENSG00000003249_1,ENSG00000003249_1,DBNDD1,target
ENSG00000003249_2,ENSG00000003249_2,DBNDD1,target
ENSG00000003249_3,ENSG00000003249_3,DBNDD1,target
ENSG00000003249_4,ENSG00000003249_4,DBNDD1,target
ENSG00000004399_1,ENSG00000004399_1,PLXND1,target
ENSG00000004399_2,ENSG00000004399_2,PLXND1,target
ENSG00000004399_3,ENSG00000004399_3,PLXND1,target
ENSG00000004399_4,ENSG00000004399_4,PLXND1,target
ENSG00000004766_1,ENSG00000004766_1,VPS50,target
ENSG00000004766_2,ENSG00000004766_2,VPS50,target
ENSG00000004766_3,ENSG00000004766_3,VPS50,target
ENSG00000004766_4,ENSG00000004766_4,VPS50,target
ENSG00000004838_1,ENSG00000004838_1,ZMYND10,target
ENSG00000004838_2,ENSG00000004838_2,ZMYND10,target
ENSG00000004838_3,ENSG00000004838_3,ZMYND10,target
ENSG00000004838_4,ENSG00000004838_4,ZMYND10,target
ENSG00000004866_1,ENSG00000004866_1,ST7,target
ENSG00000004866_2,ENSG00000004866_2,ST7,target
ENSG00000004866_3,ENSG00000004866_3,ST7,target
ENSG00000004866_4,ENSG00000004866_4,ST7,target
ENSG00000005022_1,ENSG00000005022_1,SLC25A5,target
ENSG00000005022_2,ENSG00000005022_2,SLC25A5,target
ENSG00000005022_3,ENSG00000005022_3,SLC25A5,target
ENSG00000005022_4,ENSG00000005022_4,SLC25A5,target
ENSG00000005102_1,ENSG00000005102_1,MEOX1,target
ENSG00000005102_2,ENSG00000005102_2,MEOX1,target
ENSG00000005102_3,ENSG00000005102_3,MEOX1,target
ENSG00000005102_4,ENSG00000005102_4,MEOX1,target
ENSG00000005187_1,ENSG00000005187_1,ACSM3,target
ENSG00000005187_2,ENSG00000005187_2,ACSM3,target
ENSG00000005187_3,ENSG00000005187_3,ACSM3,target
ENSG00000005187_4,ENSG00000005187_4,ACSM3,target
ENSG00000005436_1,ENSG00000005436_1,GCFC2,target
ENSG00000005436_2,ENSG00000005436_2,GCFC2,target
ENSG00000005436_3,ENSG00000005436_3,GCFC2,target
ENSG00000005436_4,ENSG00000005436_4,GCFC2,target
ENSG00000005469_1,ENSG00000005469_1,CROT,target
ENSG00000005469_2,ENSG00000005469_2,CROT,target
ENSG00000005469_3,ENSG00000005469_3,CROT,target
ENSG00000005469_4,ENSG00000005469_4,CROT,target
ENSG00000005700_1,ENSG00000005700_1,IBTK,target
ENSG00000005700_2,ENSG00000005700_2,IBTK,target
ENSG00000005700_3,ENSG00000005700_3,IBTK,target
ENSG00000005700_4,ENSG00000005700_4,IBTK,target
ENSG00000005810_1,ENSG00000005810_1,MYCBP2,target
ENSG00000005810_2,ENSG00000005810_2,MYCBP2,target
ENSG00000005810_3,ENSG00000005810_3,MYCBP2,target
ENSG00000005810_4,ENSG00000005810_4,MYCBP2,target
ENSG00000005889_1,ENSG00000005889_1,ZFX,target
ENSG00000005889_2,ENSG00000005889_2,ZFX,target
ENSG00000005889_3,ENSG00000005889_3,ZFX,target
ENSG00000005889_4,ENSG00000005889_4,ZFX,target
ENSG00000005981_1,ENSG00000005981_1,ASB4,target
ENSG00000005981_2,ENSG00000005981_2,ASB4,target
ENSG00000005981_3,ENSG00000005981_3,ASB4,target
ENSG00000005981_4,ENSG00000005981_4,ASB4,target
ENSG00000006016_1,ENSG00000006016_1,CRLF1,target
ENSG00000006016_2,ENSG00000006016_2,CRLF1,target
ENSG00000006016_3,ENSG00000006016_3,CRLF1,target
ENSG00000006016_4,ENSG00000006016_4,CRLF1,target
ENSG00000006042_1,ENSG00000006042_1,TMEM98,target
ENSG00000006042_2,ENSG00000006042_2,TMEM98,target
ENSG00000006042_3,ENSG00000006042_3,TMEM98,target
