Gene_name,Com_Genes_No
BCAP29,2961
SYCP3,2960
SIX4,2959
OSBPL11,2960
MAPKBP1,2962
WDR88,2961
AGBL2,2961
TMEM176A,2960
FAM193A,2960
LDLRAD4,2961
F2RL1,2957
CDK2AP2,2960
EPHA7,2960
GPNMB,2958
GUCD1,2961
RUNX1T1,2960
DKKL1,2962
TAF15,2960
CCDC15,2961
AKAP8L,2960
FABP4,2961
PIANP,2960
MUC21,2959
LRRC10B,2961
GLI3,2959
TMEM70,2959
ALG5,2961
ECHDC2,2960
GRM2,2962
IGLV1-40,2959
MPP3,2961
FLVCR1,2961
L3MBTL3,2959
TCF20,2959
IFT74,2961
HPSE2,2962
HNRNPR,2960
LASP1,2960
TMEM269,2960
EPHB6,2961
EXD2,2961
S100Z,2960
MBLAC2,2959
C1orf56,2959
MS4A7,2961
METTL5,2960
MMP23B,2960
KCNJ4,2961
KYAT1,2961
VSTM2B,2960
HIP1R,2960
FIS1,2961
FAM9C,2959
CAPNS1,2961
DNAJB7,2961
BMPER,2960
SSH2,2961
ANKRD1,2963
BEAN1,2961
PPM1A,2961
MECP2,2959
BPI,2959
IGSF9B,2959
ZNF284,2961
OTULIN,2960
TMEM120B,2961
ZNF236,2960
TRIM11,2960
ZNF33B,2960
BUB3,2959
CA1,2961
PWP2,2959
AP5S1,2960
SMAD2,2961
LIN9,2960
H2BC9,2961
TNF,2961
FBLN5,2962
GRP,2959
ENSG00000273291,2960
SLC4A9,2959
LNPK,2960
ANKRD34B,2961
FSIP1,2958
SCMH1,2962
STN1,2961
DEUP1,2958
CWC22,2960
KIF13B,2958
ZNF461,2961
STAT1,2960
PDE1C,2960
SPEGNB,2959
NAT9,2958
IST1,2961
SPTB,2958
CDR2,2960
RECQL4,2960
IFT46,2959
CAVIN4,2959
MAL,2961
WARS1,2961
ADAMTSL5,2959
SPATA21,2959
NAMPT,2961
FRMPD4,2961
ZNF622,2960
NR4A2,2961
MAPK3,2960
GAPDHS,2960
N4BP2L1,2960
TPI1,2962
PLXNA3,2960
IRF6,2962
OLFM3,2961
SMIM3,2962
TAS2R20,2960
UQCRQ,2962
PPP4C,2961
KLHL28,2960
DUOX1,2960
CXCL14,2959
GPC3,2961
PTPRJ,2960
AMER1,2960
PNMA3,2960
ETV7,2960
TULP1,2961
HSPB7,2961
PEX12,2962
SLC34A3,2960
CYP2W1,2959
TET3,2960
PAX4,2960
GK5,2959
ADNP2,2961
KPNA3,2959
KNL1,2960
RBM10,2960
TMEM8B,2960
HLA-E,2959
FGF19,2959
EBLN2,2959
DBN1,2960
ERLIN1,2959
ANGEL1,2961
HGD,2958
ADGRV1,2960
ASPH,2959
TMEM121B,2960
MAN2B2,2959
GRHL1,2960
FOXR2,2961
TRAM1,2960
TNNC2,2960
ZSWIM7,2960
IQUB,2960
CYP26C1,2960
RNF151,2961
PEBP1,2962
BCL3,2961
LDOC1,2961
BID,2962
ASB12,2960
CCT8L2,2960
PCGF6,2962
PGC,2961
MAPRE3,2958
COL2A1,2961
JMY,2962
ELMOD1,2960
H3Y1,2962
NDUFA10,2960
MEIOB,2961
EIF3K,2960
RPS6KA4,2959
C17orf75,2960
GAB2,2959
BEX2,2960
ABCF2-H2BE1,2961
IGSF6,2958
SCYGR4,2962
IGSF1,2961
CDKN1C,2961
KMT2E,2961
TMEM150A,2960
C3orf80,2962
KLC1,2960
SUMO3,2961
COA5,2959
CCS,2958
TTC32,2960
PNLIPRP2,2960
CWF19L1,2961
PHLDA2,2960
OR11H12,2961
SH2B2,2959
TNFRSF17,2960
ZMAT3,2961
LARP6,2961
HOXD12,2961
PEX10,2960
THEM5,2961
CNGA2,2959
MS4A6A,2960
XPO6,2959
ATN1,2960
COLGALT2,2961
PNOC,2960
ARID4A,2957
PPP3R1,2960
SUB1,2959
INSYN2B,2960
PLPP3,2962
ARL4C,2961
EOMES,2959
CPE,2960
GMDS,2961
FAM50A,2958
POLR3G,2959
TAF1,2959
YBX3,2959
AEN,2960
TRBJ1-4,2961
PCP4,2960
SLC35F6,2958
PLD4,2959
RPGR,2960
STKLD1,2961
PRSS22,2959
CALU,2961
TRIM64,2962
RARRES2,2961
SLC7A6,2960
ACAT1,2959
OR4A5,2961
ETNPPL,2961
NIBAN2,2961
NCMAP,2960
PIGY,2960
DCLRE1A,2962
CPOX,2960
HOOK2,2961
HMX3,2961
RIPK2,2961
MT-ND3,2960
FAM95C,2962
ANPEP,2960
EXOC5,2959
FAM216B,2962
LYNX1,2960
FHOD3,2961
ART3,2960
CFAP43,2959
BAIAP2L2,2960
TINAG,2958
LRPPRC,2959
NSD1,2958
GSK3B,2959
ATP12A,2959
GTF2IRD2,2961
USP42,2960
CD44,2961
SEMA4B,2959
ZNF343,2961
CBWD3,2960
SLC25A10,2960
ERG28,2961
LCNL1,2958
EMP1,2961
BUB1B-PAK6,2960
ZNF318,2960
IGKV1D-13,2960
IRF3,2960
CELA3B,2959
TTC5,2961
RRH,2961
FOSL1,2959
ENSG00000258677,2960
HS3ST1,2960
CTDSP2,2961
CEP20,2960
JUP,2960
IGKV1-16,2960
ZNF182,2961
ADCY7,2960
CDC37,2962
TRIB2,2961
KCNE3,2961
EEF1G,2960
PDE4C,2960
UPK2,2959
PYGO2,2960
GPR62,2960
KIAA2026,2960
RPUSD3,2960
FAM124B,2961
APOF,2961
FNDC3B,2961
PATE3,2961
ADTRP,2959
ZNF541,2962
POTEA,2960
PLEKHF1,2960
TRIP4,2960
TRAV1-1,2961
NKX2-4,2961
TRIP6,2962
VLDLR,2960
RBM14-RBM4,2960
FES,2960
PRRX1,2963
ALOX15B,2959
FCRL3,2960
PSEN2,2961
HEXA,2960
TCP1,2962
MPPED2,2961
VWA5B1,2960
RINT1,2961
ENSG00000260836,2960
GCC1,2958
FSHR,2962
TRAJ26,2961
UBFD1,2959
ENSG00000237378,2961
CDH11,2961
ZNF197,2963
FBXO44,2958
WDR82,2962
MIOX,2960
ENSG00000243696,2959
PCP4L1,2961
RNF139,2960
CATSPERZ,2961
MRPS27,2958
RBM19,2960
LRCH2,2963
SUSD5,2959
SRI,2960
FRG2B,2960
KLHL25,2960
DUT,2959
ENSG00000267261,2960
FBXO39,2960
AMBRA1,2960
ATF7IP2,2960
IQCK,2961
MLIP,2960
MTMR6,2962
LRRIQ1,2959
IL7,2959
ZDHHC13,2960
DEFB105A,2959
LIN7A,2960
PROM2,2959
ENSG00000261147,2961
LYRM9,2961
CSPP1,2960
MAGED4B,2961
ARMCX5,2961
BST1,2960
NANOS1,2960
TPTEP2-CSNK1E,2960
TLNRD1,2962
SLC9B2,2961
SEC24C,2961
