Gene_name,Com_Genes_No
CHCHD2,2946
ENSG00000257411,2948
GCNT1,2947
RAB12,2945
RPAIN,2945
KRT6B,2944
UBE2L5,2948
SORL1,2948
ABCA10,2947
AP1B1,2945
RTL10,2947
TMEM201,2947
SLC16A8,2947
INPP5F,2947
HERPUD1,2948
ZNF212,2948
FDCSP,2946
TRIAP1,2948
TAS2R13,2949
VWA5B2,2948
MAP4K5,2949
DELE1,2949
ECHDC1,2948
ATP10D,2945
KIFC3,2948
LCE5A,2946
HPSE,2948
TBCB,2947
CHTF8,2949
TEX11,2948
AAMP,2946
SHISA5,2948
OR2T33,2948
KLRC2,2950
ZNF575,2948
USP41,2950
C5,2950
GABRG2,2947
IL25,2947
TAF13,2947
ZMIZ2,2948
NEDD4L,2947
NPAS3,2947
TBC1D30,2949
GIN1,2949
OST4,2947
CYBA,2947
ANKRD62,2947
TRAPPC13,2949
SAMD12,2950
ZNF43,2946
TRPV4,2948
CD72,2949
QRFPR,2949
SSX7,2947
TGIF2LY,2949
SRP9,2948
IRAK1BP1,2948
LMLN2,2951
TAF4B,2947
IGKV3-11,2948
BUB3,2949
ENSG00000249319,2949
CRTAM,2946
FOXD4L6,2949
LSM6,2947
ZMYM3,2948
TRBV12-5,2947
TMEM221,2948
WDCP,2946
DOC2B,2948
TRBV5-1,2948
HDAC1,2947
ANGPT1,2946
SLC6A13,2948
SEC11A,2947
ETFBKMT,2949
DCBLD2,2949
TSN,2949
HOMER1,2948
DEFA4,2946
RBAK-RBAKDN,2948
CLTCL1,2949
FAM163B,2951
GNA12,2948
KEAP1,2946
ATP6V1D,2948
OLFML2A,2949
STAT1,2947
CC2D2B,2949
NPR2,2947
ENSG00000288053,2947
ARMC6,2947
P2RX3,2948
EPM2AIP1,2946
SRD5A3,2947
SPECC1L,2947
MCOLN1,2947
KATNA1,2947
IKBIP,2947
TAGLN,2947
OTUD6A,2947
TRAV41,2948
ARL13A,2948
RORC,2950
IRF2BP2,2948
TEX33,2949
SPATA22,2948
INPP5E,2947
MAPKAP1,2948
DUSP14,2949
RPE65,2948
LRRC59,2947
RHOH,2948
SIDT1,2949
INPP5A,2948
CEMIP,2948
DCN,2949
GCGR,2947
IGFBP7,2947
NCK1,2945
VPS53,2946
RSRC2,2949
CHAC1,2947
COX6B1,2947
P2RX5-TAX1BP3,2948
KLHL7,2948
NOSIP,2948
GLP1R,2946
COA1,2946
KLK15,2948
EIF3J,2950
TCERG1L,2947
ZNF551,2948
TAFA2,2948
OXLD1,2947
CIRBP,2945
TCOF1,2948
KCNJ16,2949
CAV2,2949
PEX13,2949
HTR7,2948
VSTM4,2947
SKIDA1,2948
ZNF214,2946
FAM83A,2947
TASOR,2947
SMIM20,2948
CRLF3,2949
MYPN,2948
UQCR11,2949
ZDHHC23,2951
MIPEP,2947
GYG1,2947
CIB2,2950
PCYT1B,2949
KCNA2,2948
FIGN,2948
CASP4,2949
SPTBN1,2947
TMPRSS11B,2949
RTTN,2946
TLR5,2946
CD300LD,2947
NEU2,2946
IP6K2,2946
SLCO6A1,2946
ATXN7L3B,2949
TMED6,2949
F2RL3,2948
JAK2,2948
IGHG1,2947
ZNF655,2947
EFR3B,2947
ICMT,2947
SPECC1L-ADORA2A,2947
PRICKLE1,2948
DNAH17,2946
LUC7L2,2947
TCF23,2948
AMER3,2950
CTC1,2949
OR4D10,2948
CDK18,2949
SOX18,2945
TRIM23,2947
FAM90A9P,2949
EMP3,2948
SPESP1,2944
VWA3A,2950
ENSG00000288550,2947
ZC3HC1,2948
ZNF449,2947
HSD17B11,2947
ENSG00000265118,2948
PLA2G4D,2951
JMJD8,2948
PRPF40A,2949
TMEM59,2947
CIAO2A,2948
OR5AL1,2946
EIF4EBP3,2945
KLRC1,2949
RHCG,2949
NR2C2,2950
NADK,2948
SEMA6D,2945
COTL1,2948
CLEC16A,2947
TKFC,2947
E2F4,2947
TACSTD2,2947
PROK1,2949
COX6A1,2950
ZNF709,2946
DLG4,2948
SPATA48,2948
TICRR,2949
DNAL4,2948
FUBP3,2944
CD84,2949
LILRA5,2947
PPFIBP1,2947
UBALD1,2948
STAP1,2948
ENSG00000266302,2947
MIOS,2947
RAB33B,2948
SUZ12,2947
ADGRE5,2949
IQSEC3,2946
ASMT,2946
SSNA1,2946
MCF2,2946
STK32B,2949
SYNPO2,2949
PDZK1,2948
CAMK4,2950
AP4E1,2948
SLC1A2,2947
TSPAN18,2947
IL17F,2945
THSD1,2951
PDS5B,2950
CETN2,2948
RRAD,2946
RALGPS1,2951
GUCY2D,2948
CIB4,2951
TOMM22,2950
MMP15,2948
TDRKH,2948
NRG4,2948
MPIG6B,2948
RPS16,2949
AGMAT,2948
CKAP2,2948
OTUD7B,2948
PCLAF,2946
PIP5K1A,2950
USP1,2947
FUS,2945
SMAP1,2949
CENPT,2949
NR3C2,2947
CEP131,2948
SLC35C1,2947
ZFP30,2948
ETV4,2947
ALS2,2946
AOC2,2948
ADPRHL1,2946
DSEL,2949
EHD1,2948
WDR11,2946
SUPV3L1,2947
OR56A5,2947
MCMBP,2949
NOL8,2947
GTF2I,2950
CXXC5,2946
CLDN12,2948
COL28A1,2949
EML5,2948
SHPRH,2948
APOL6,2949
COL21A1,2948
MKRN2OS,2946
GPR85,2947
ZNF234,2948
DIPK2B,2946
MYMK,2946
SPTA1,2946
PDCD11,2947
